Economy,Year,Economy Code,GDP per capita (current US$)
Afghanistan,2021,AFG,355.778
Albania,2022,ALB,6810.114
Algeria,2022,DZA,4342.638
American Samoa,2022,ASM,19673.390
Andorra,2022,AND,41992.773
Angola,2022,AGO,3000.444
Antigua and Barbuda,2022,ATG,19919.727
Argentina,2022,ARG,13650.605
Armenia,2022,ARM,7018.052
Aruba,2022,ABW,33300.839
Australia,2022,AUS,65099.846
Austria,2022,AUT,52084.681
Azerbaijan,2022,AZE,7762.074
"Bahamas, The",2022,BHS,31458.301
Bahrain,2022,BHR,30146.925
Bangladesh,2022,BGD,2688.306
Barbados,2022,BRB,20238.784
Belarus,2022,BLR,7888.264
Belgium,2022,BEL,49926.825
Belize,2022,BLZ,6984.217
Benin,2022,BEN,1302.851
Bermuda,2022,BMU,118774.791
Bhutan,2021,BTN,3560.198
Bolivia,2022,BOL,3600.122
Bosnia and Herzegovina,2022,BIH,7568.798
Botswana,2022,BWA,7738.879
Brazil,2022,BRA,8917.675
British Virgin Islands,2022,VGB,
Brunei Darussalam,2022,BRN,37152.477
Bulgaria,2022,BGR,13974.449
Burkina Faso,2022,BFA,830.037
Burundi,2022,BDI,259.025
Cabo Verde,2022,CPV,3754.305
Cambodia,2022,KHM,1759.608
Cameroon,2022,CMR,1563.489
Canada,2022,CAN,55522.446
Cayman Islands,2022,CYM,99624.885
Central African Republic,2022,CAF,427.058
Chad,2022,TCD,716.804
Channel Islands,2021,CHI,67960.727
Chile,2022,CHL,15355.480
China,2022,CHN,12720.216
Colombia,2022,COL,6624.165
Comoros,2022,COM,1484.892
"Congo, Dem. Rep.",2022,COD,653.656
"Congo, Rep.",2022,COG,2649.225
Costa Rica,2022,CRI,13365.356
Cote d'Ivoire,2022,CIV,2486.412
Croatia,2022,HRV,18570.404
Cuba,2020,CUB,9499.573
Curacao,2022,CUW,20501.752
Cyprus,2022,CYP,32048.240
Czechia,2022,CZE,27226.616
Denmark,2022,DNK,67790.054
Djibouti,2022,DJI,3136.113
Dominica,2022,DMA,8351.193
Dominican Republic,2022,DOM,10111.246
Ecuador,2022,ECU,6391.282
"Egypt, Arab Rep.",2022,EGY,4295.407
El Salvador,2022,SLV,5127.322
Equatorial Guinea,2022,GNQ,7182.265
Eritrea,2022,ERI,
Estonia,2022,EST,28247.096
Eswatini,2022,SWZ,3986.887
Ethiopia,2022,ETH,1027.586
Faroe Islands,2022,FRO,66979.277
Fiji,2022,FJI,5356.164
Finland,2022,FIN,50871.930
France,2022,FRA,40886.253
French Polynesia,2022,PYF,18984.851
Gabon,2022,GAB,8820.347
"Gambia, The",2022,GMB,808.278
Georgia,2022,GEO,6674.957
Germany,2022,DEU,48717.991
Ghana,2022,GHA,2203.559
Gibraltar,2022,GIB,
Greece,2022,GRC,20867.269
Greenland,2021,GRL,57116.296
Grenada,2022,GRD,9689.083
Guam,2021,GUM,35904.864
Guatemala,2022,GTM,5473.209
Guinea,2022,GIN,1515.168
Guinea-Bissau,2022,GNB,775.829
Guyana,2022,GUY,18199.475
Haiti,2022,HTI,1748.257
Honduras,2022,HND,3040.173
"Hong Kong SAR, China",2022,HKG,48983.622
Hungary,2022,HUN,18390.185
Iceland,2022,ISL,73466.779
India,2022,IND,2410.888
Indonesia,2022,IDN,4787.999
"Iran, Islamic Rep.",2022,IRN,4669.571
Iraq,2022,IRQ,5937.195
Ireland,2022,IRL,103983.291
Isle of Man,2020,IMN,79530.605
Israel,2022,ISR,54930.939
Italy,2022,ITA,34776.423
Jamaica,2022,JAM,6047.216
Japan,2022,JPN,34017.272
Jordan,2022,JOR,4311.000
Kazakhstan,2022,KAZ,11492.032
Kenya,2022,KEN,2099.302
Kiribati,2022,KIR,1701.971
"Korea, Dem. People's Rep.",2022,PRK,
"Korea, Rep.",2022,KOR,32422.574
Kosovo,2022,XKX,5340.269
Kuwait,2022,KWT,41079.523
Kyrgyz Republic,2022,KGZ,1655.073
Lao PDR,2022,LAO,2054.431
Latvia,2022,LVA,21779.504
Lebanon,2021,LBN,4136.147
Lesotho,2022,LSO,969.936
Liberia,2022,LBR,754.533
Libya,2022,LBY,6716.096
Liechtenstein,2021,LIE,197504.549
Lithuania,2022,LTU,25064.809
Luxembourg,2022,LUX,125006.022
"Macao SAR, China",2022,MAC,34584.859
Madagascar,2022,MDG,516.593
Malawi,2022,MWI,645.159
Malaysia,2022,MYS,11993.188
Maldives,2022,MDV,11780.817
Mali,2022,MLI,833.297
Malta,2022,MLT,34127.511
Marshall Islands,2022,MHL,6225.179
Mauritania,2022,MRT,2065.156
Mauritius,2022,MUS,10256.230
Mexico,2022,MEX,11496.523
"Micronesia, Fed. Sts.",2022,FSM,3713.955
Moldova,2022,MDA,5714.430
Monaco,2022,MCO,240862.182
Mongolia,2022,MNG,5045.505
Montenegro,2022,MNE,10093.439
Morocco,2022,MAR,3441.991
Mozambique,2022,MOZ,558.299
Myanmar,2022,MMR,1149.211
Namibia,2022,NAM,5031.115
Nauru,2022,NRU,11970.938
Nepal,2022,NPL,1336.546
Netherlands,2022,NLD,57025.012
New Caledonia,2022,NCL,35745.185
New Zealand,2022,NZL,48418.592
Nicaragua,2022,NIC,2255.426
Niger,2022,NER,585.405
Nigeria,2022,NGA,2162.634
North Macedonia,2022,MKD,6591.471
Northern Mariana Islands,2020,MNP,17302.922
Norway,2022,NOR,108729.187
Oman,2022,OMN,25056.795
Pakistan,2022,PAK,1588.880
Palau,2021,PLW,12921.827
Panama,2022,PAN,17357.629
Papua New Guinea,2022,PNG,3115.923
Paraguay,2022,PRY,6153.056
Peru,2022,PER,7125.830
Philippines,2022,PHL,3498.510
Poland,2022,POL,18688.004
Portugal,2022,PRT,24515.266
Puerto Rico,2022,PRI,35208.637
Qatar,2022,QAT,87661.450
Romania,2022,ROU,15786.802
Russian Federation,2022,RUS,15270.706
Rwanda,2022,RWA,966.232
Samoa,2022,WSM,3745.560
San Marino,2021,SMR,54982.452
Sao Tome and Principe,2022,STP,2386.696
Saudi Arabia,2022,SAU,30447.884
Senegal,2022,SEN,1598.726
Serbia,2022,SRB,9537.683
Seychelles,2022,SYC,13250.456
Sierra Leone,2022,SLE,475.796
Singapore,2022,SGP,82807.629
Sint Maarten (Dutch part),2022,SXM,35873.056
Slovak Republic,2022,SVK,21256.808
Slovenia,2022,SVN,28439.334
Solomon Islands,2022,SLB,2205.252
Somalia,2022,SOM,592.103
South Africa,2022,ZAF,6766.481
South Sudan,2015,SSD,1071.778
Spain,2022,ESP,29674.544
Sri Lanka,2022,LKA,3354.383
St. Kitts and Nevis,2022,KNA,20262.267
St. Lucia,2022,LCA,13030.928
St. Martin (French part),2021,MAF,20320.717
St. Vincent and the Grenadines,2022,VCT,9125.325
Sudan,2022,SDN,1102.146
Suriname,2022,SUR,5858.825
Sweden,2022,SWE,56424.285
Switzerland,2022,CHE,93259.906
Syrian Arab Republic,2021,SYR,420.623
Tajikistan,2022,TJK,1054.189
Tanzania,2022,TZA,1192.766
Thailand,2022,THA,6909.956
Timor-Leste,2022,TLS,2389.296
Togo,2022,TGO,942.650
Tonga,2021,TON,4425.971
Trinidad and Tobago,2022,TTO,19629.465
Tunisia,2022,TUN,3747.419
Turkiye,2022,TUR,10674.504
Turkmenistan,2022,TKM,8792.549
Turks and Caicos Islands,2022,TCA,24917.596
Tuvalu,2022,TUV,5221.533
Uganda,2022,UGA,964.396
Ukraine,2022,UKR,4533.976
United Arab Emirates,2022,ARE,53707.980
United Kingdom,2022,GBR,46125.256
United States,2022,USA,76329.582
Uruguay,2022,URY,20795.042
Uzbekistan,2022,UZB,2255.151
Vanuatu,2022,VUT,3231.351
"Venezuela, RB",2014,VEN,15975.729
Vietnam,2022,VNM,4163.514
Virgin Islands (U.S.),2021,VIR,41976.008
West Bank and Gaza,2022,PSE,3789.328
"Yemen, Rep.",2022,YEM,650.272
Zambia,2022,ZMB,1456.902
Zimbabwe,2022,ZWE,1676.821